work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,company_location,company_size,arrangement_type,field,brain_drain
2020,MI,FT,Data Scientist,79833,DE,DE,L,On-site,Data Science,No
2020,SE,FT,Machine Learning Scientist,260000,JP,JP,S,On-site,Machine Learning and Artificial Intelligence,No
2020,SE,FT,Big Data Engineer,109024,GB,GB,M,Hybrid,Data Engineering,No
2020,MI,FT,Product Data Analyst,20000,HN,HN,S,On-site,Data Analysis,No
2020,SE,FT,Machine Learning Engineer,150000,US,US,L,Hybrid,Machine Learning and Artificial Intelligence,No
2020,EN,FT,Data Analyst,72000,US,US,L,Remote,Data Analysis,No
2020,SE,FT,Lead Data Scientist,190000,US,US,S,Remote,Data Science,No
2020,MI,FT,Data Scientist,35735,HU,HU,L,Hybrid,Data Science,No
2020,MI,FT,Business Data Analyst,135000,US,US,L,Remote,Data Analysis,No
2020,SE,FT,Lead Data Engineer,125000,NZ,NZ,S,Hybrid,Data Engineering,No
2020,EN,FT,Data Scientist,51321,FR,FR,S,On-site,Data Science,No
2020,MI,FT,Data Scientist,40481,IN,IN,L,On-site,Data Science,No
2020,EN,FT,Data Scientist,39916,FR,FR,M,On-site,Data Science,No
2020,MI,FT,Lead Data Analyst,87000,US,US,L,Remote,Data Analysis,No
2020,MI,FT,Data Analyst,85000,US,US,L,Remote,Data Analysis,No
2020,MI,FT,Data Analyst,8000,PK,PK,L,Hybrid,Data Analysis,No
2020,EN,FT,Data Engineer,41689,JP,JP,S,Remote,Data Engineering,No
2020,SE,FT,Big Data Engineer,114047,PL,GB,S,Remote,Data Engineering,Yes
2020,EN,FT,Data Science Consultant,5707,IN,IN,M,Hybrid,Data Science,No
2020,MI,FT,Lead Data Engineer,56000,PT,US,M,Remote,Data Engineering,Yes
2020,MI,FT,Machine Learning Engineer,43331,CN,CN,M,On-site,Machine Learning and Artificial Intelligence,No
2020,MI,FT,Product Data Analyst,6072,IN,IN,L,Remote,Data Analysis,No
2020,SE,FT,Data Engineer,47899,GR,GR,L,Hybrid,Data Engineering,No
2020,MI,FT,BI Data Analyst,98000,US,US,M,On-site,Data Analysis,No
2020,MI,FT,Lead Data Scientist,115000,AE,AE,L,On-site,Data Science,No
2020,EX,FT,Director of Data Science,325000,US,US,L,Remote,Data Science,No
2020,EN,FT,Research Scientist,42000,NL,NL,L,Hybrid,Academe,No
2020,SE,FT,Data Engineer,33511,MX,MX,S,On-site,Data Engineering,No
2020,EN,CT,Business Data Analyst,100000,US,US,L,Remote,Data Analysis,No
2020,SE,FT,Machine Learning Manager,117104,CA,CA,L,Hybrid,Machine Learning and Artificial Intelligence,No
2020,MI,FT,Data Engineering Manager,59303,DE,DE,S,Remote,Data Engineering,No
2020,EN,FT,Big Data Engineer,70000,US,US,L,Remote,Data Engineering,No
